"","V1","V2"
"1",49,19
"2",49,20
"3",48,21
"4",48,22
"5",47,23
"6",47,24
"7",46,25
"8",45,26
"9",44,27
"10",44,28
"11",43,29
"12",43,30
"13",42,31
"14",42,32
"15",41,33
"16",41,34
"17",40,35
"18",39,36
"19",38,37
"20",37,38
"21",37,39
"22",36,40
"23",36,41
"24",35,42
"25",34,43
"26",33,44
"27",32,45
"28",31,46
"29",31,47
"30",30,48
"31",30,49
"32",30,50
"33",30,51
"34",30,52
"35",29,53
"36",29,54
"37",29,55
"38",28,56
"39",28,57
"40",28,58
"41",27,59
"42",27,60
"43",26,61
"44",26,62
"45",25,63
"46",24,64
"47",23,65
"48",22,66
"49",21,66
"50",20,67
"51",20,68
"52",19,69
"53",19,70
"54",19,71
"55",19,72
"56",19,73
"57",19,74
"58",19,75
"59",18,76
"60",18,77
"61",18,78
"62",18,79
"63",18,80
"64",18,81
"65",17,82
"66",17,83
"67",16,84
"68",16,85
"69",15,86
"70",15,87
"71",14,88
"72",14,89
"73",14,90
"74",14,91
"75",13,92
"76",13,93
"77",13,94
"78",13,95
"79",13,96
"80",13,97
"81",13,98
"82",13,99
"83",13,100
"84",13,101
"85",13,102
"86",13,103
"87",13,104
"88",13,105
"89",14,106
"90",14,107
"91",15,108
"92",15,109
"93",16,110
"94",16,111
"95",16,112
"96",16,113
"97",16,114
"98",16,115
"99",16,116
"100",16,117
"101",16,118
"102",16,119
"103",16,120
"104",16,121
"105",16,122
"106",17,123
"107",17,124
"108",17,125
"109",18,126
"110",19,127
"111",20,128
"112",21,129
"113",22,129
"114",23,130
"115",24,131
"116",25,131
"117",26,132
"118",27,133
"119",27,134
"120",28,135
"121",29,136
"122",30,137
"123",31,138
"124",31,139
"125",32,140
"126",32,141
"127",33,142
"128",33,143
"129",33,144
"130",33,145
"131",33,146
"132",34,147
"133",34,148
"134",34,149
"135",34,150
"136",34,151
"137",34,152
"138",34,153
"139",35,154
"140",35,155
"141",36,156
"142",36,157
"143",36,158
"144",37,159
"145",38,160
"146",38,161
"147",39,162
"148",40,163
"149",40,164
"150",41,165
"151",42,166
"152",43,167
"153",44,168
"154",45,169
"155",46,169
"156",47,170
"157",48,170
"158",49,170
"159",50,170
"160",51,170
"161",52,170
"162",53,170
"163",54,170
"164",55,170
"165",56,170
"166",57,170
"167",58,170
"168",59,170
"169",60,170
"170",61,169
"171",62,169
"172",63,168
"173",64,167
"174",65,166
"175",65,165
"176",66,164
"177",66,163
"178",67,162
"179",67,161
"180",67,160
"181",67,159
"182",67,158
"183",67,157
"184",68,156
"185",68,155
"186",68,154
"187",68,153
"188",69,152
"189",69,151
"190",70,150
"191",70,149
"192",71,148
"193",72,147
"194",72,146
"195",72,145
"196",73,144
"197",73,143
"198",74,142
"199",74,141
"200",75,140
"201",75,139
"202",76,138
"203",77,137
"204",78,136
"205",79,136
"206",80,135
"207",81,134
"208",82,133
"209",83,133
"210",84,132
"211",85,132
"212",86,131
"213",87,130
"214",88,130
"215",89,129
"216",90,128
"217",91,128
"218",92,127
"219",93,126
"220",94,126
"221",95,125
"222",96,124
"223",97,123
"224",98,122
"225",99,121
"226",100,120
"227",101,119
"228",102,118
"229",103,117
"230",103,116
"231",103,115
"232",103,114
"233",103,113
"234",103,112
"235",103,111
"236",102,110
"237",102,109
"238",102,108
"239",101,107
"240",101,106
"241",101,105
"242",101,104
"243",101,103
"244",101,102
"245",101,101
"246",101,100
"247",101,99
"248",101,98
"249",101,97
"250",100,96
"251",100,95
"252",99,94
"253",99,93
"254",99,92
"255",98,91
"256",98,90
"257",98,89
"258",97,88
"259",97,87
"260",97,86
"261",98,85
"262",98,84
"263",98,83
"264",98,82
"265",98,81
"266",98,80
"267",97,79
"268",97,78
"269",97,77
"270",96,76
"271",96,75
"272",95,74
"273",94,73
"274",94,72
"275",93,71
"276",93,70
"277",93,69
"278",93,68
"279",93,67
"280",93,66
"281",92,65
"282",92,64
"283",92,63
"284",92,62
"285",91,61
"286",91,60
"287",90,59
"288",90,58
"289",89,57
"290",89,56
"291",88,55
"292",88,54
"293",88,53
"294",88,52
"295",88,51
"296",87,50
"297",87,49
"298",86,48
"299",85,47
"300",84,46
"301",83,45
"302",82,44
"303",82,43
"304",81,42
"305",81,41
"306",81,40
"307",80,39
"308",80,38
"309",79,37
"310",78,37
"311",77,36
"312",76,36
"313",75,35
"314",74,35
"315",73,35
"316",72,34
"317",71,34
"318",70,34
"319",69,33
"320",68,32
"321",67,32
"322",66,31
"323",65,30
"324",65,29
"325",64,28
"326",63,27
"327",62,26
"328",61,25
"329",60,24
"330",59,23
"331",58,22
"332",57,21
"333",56,20
"334",55,19
"335",54,19
"336",53,19
"337",52,19
"338",51,19
"339",50,19
