"","V1","V2"
"1",76,19
"2",75,20
"3",74,20
"4",73,20
"5",72,20
"6",71,21
"7",70,21
"8",69,22
"9",68,22
"10",67,22
"11",66,22
"12",65,22
"13",64,22
"14",63,23
"15",62,24
"16",61,25
"17",60,26
"18",60,27
"19",59,28
"20",58,29
"21",57,30
"22",56,31
"23",55,32
"24",54,33
"25",53,34
"26",52,35
"27",51,36
"28",50,37
"29",49,38
"30",48,38
"31",47,38
"32",46,39
"33",45,40
"34",45,41
"35",44,42
"36",44,43
"37",44,44
"38",43,45
"39",43,46
"40",43,47
"41",42,48
"42",42,49
"43",41,50
"44",41,51
"45",40,52
"46",39,53
"47",39,54
"48",38,55
"49",38,56
"50",38,57
"51",38,58
"52",37,59
"53",37,60
"54",36,61
"55",36,62
"56",35,63
"57",34,64
"58",34,65
"59",33,66
"60",33,67
"61",32,68
"62",32,69
"63",31,70
"64",30,71
"65",30,72
"66",29,73
"67",28,74
"68",27,74
"69",27,75
"70",27,76
"71",27,77
"72",26,78
"73",26,79
"74",26,80
"75",26,81
"76",27,82
"77",27,83
"78",27,84
"79",27,85
"80",27,86
"81",27,87
"82",27,88
"83",26,89
"84",26,90
"85",26,91
"86",26,92
"87",25,93
"88",25,94
"89",24,95
"90",23,96
"91",22,97
"92",22,98
"93",22,99
"94",22,100
"95",22,101
"96",22,102
"97",22,103
"98",22,104
"99",23,105
"100",24,106
"101",24,107
"102",25,108
"103",26,109
"104",27,109
"105",28,110
"106",29,111
"107",30,112
"108",31,113
"109",32,113
"110",33,114
"111",34,115
"112",35,116
"113",35,117
"114",36,118
"115",37,119
"116",38,120
"117",39,121
"118",40,122
"119",41,123
"120",41,124
"121",42,125
"122",42,126
"123",43,127
"124",44,128
"125",45,129
"126",46,130
"127",47,131
"128",47,132
"129",48,133
"130",49,134
"131",49,135
"132",50,136
"133",50,137
"134",51,138
"135",52,139
"136",53,140
"137",53,141
"138",54,142
"139",55,143
"140",56,143
"141",57,144
"142",58,145
"143",59,146
"144",59,147
"145",60,148
"146",60,149
"147",60,150
"148",61,151
"149",61,152
"150",62,153
"151",62,154
"152",63,155
"153",64,156
"154",65,157
"155",66,158
"156",67,159
"157",68,159
"158",69,160
"159",70,160
"160",71,159
"161",72,159
"162",73,158
"163",74,157
"164",74,156
"165",74,155
"166",75,154
"167",75,153
"168",75,152
"169",75,151
"170",76,150
"171",76,149
"172",76,148
"173",76,147
"174",76,146
"175",76,145
"176",76,144
"177",77,143
"178",77,142
"179",78,141
"180",78,140
"181",79,139
"182",79,138
"183",80,137
"184",80,136
"185",80,135
"186",81,134
"187",81,133
"188",82,132
"189",82,131
"190",82,130
"191",82,129
"192",82,128
"193",82,127
"194",82,126
"195",82,125
"196",83,124
"197",83,123
"198",83,122
"199",83,121
"200",84,120
"201",85,119
"202",86,118
"203",87,117
"204",88,116
"205",89,115
"206",90,114
"207",91,113
"208",92,112
"209",93,111
"210",94,110
"211",95,109
"212",96,108
"213",97,107
"214",98,107
"215",99,106
"216",100,106
"217",101,105
"218",102,104
"219",103,103
"220",103,102
"221",103,101
"222",104,100
"223",104,99
"224",104,98
"225",104,97
"226",104,96
"227",104,95
"228",104,94
"229",104,93
"230",104,92
"231",104,91
"232",105,90
"233",105,89
"234",105,88
"235",105,87
"236",104,86
"237",104,85
"238",104,84
"239",104,83
"240",104,82
"241",103,81
"242",103,80
"243",103,79
"244",103,78
"245",102,77
"246",102,76
"247",102,75
"248",102,74
"249",102,73
"250",102,72
"251",103,71
"252",103,70
"253",103,69
"254",103,68
"255",102,67
"256",102,66
"257",102,65
"258",101,64
"259",101,63
"260",101,62
"261",101,61
"262",100,60
"263",100,59
"264",99,58
"265",99,57
"266",98,56
"267",98,55
"268",98,54
"269",99,53
"270",99,52
"271",99,51
"272",99,50
"273",99,49
"274",99,48
"275",99,47
"276",100,46
"277",100,45
"278",100,44
"279",100,43
"280",100,42
"281",100,41
"282",99,40
"283",99,39
"284",99,38
"285",99,37
"286",99,36
"287",99,35
"288",98,34
"289",98,33
"290",98,32
"291",97,31
"292",97,30
"293",97,29
"294",97,28
"295",96,27
"296",96,26
"297",95,25
"298",94,24
"299",93,23
"300",92,22
"301",91,21
"302",90,21
"303",89,20
"304",88,20
"305",87,20
"306",86,20
"307",85,20
"308",84,20
"309",83,20
"310",82,19
"311",81,19
"312",80,19
"313",79,19
"314",78,19
"315",77,19
