"","V1","V2"
"1",49,15
"2",48,16
"3",47,16
"4",46,17
"5",45,17
"6",44,18
"7",43,19
"8",42,20
"9",42,21
"10",41,22
"11",40,23
"12",40,24
"13",39,25
"14",38,26
"15",38,27
"16",37,28
"17",37,29
"18",37,30
"19",37,31
"20",37,32
"21",36,33
"22",36,34
"23",36,35
"24",35,36
"25",34,37
"26",34,38
"27",33,39
"28",33,40
"29",32,41
"30",32,42
"31",32,43
"32",31,44
"33",31,45
"34",31,46
"35",31,47
"36",30,48
"37",30,49
"38",30,50
"39",30,51
"40",30,52
"41",29,53
"42",29,54
"43",29,55
"44",29,56
"45",28,57
"46",28,58
"47",27,59
"48",27,60
"49",26,61
"50",26,62
"51",25,63
"52",25,64
"53",25,65
"54",24,66
"55",24,67
"56",24,68
"57",23,69
"58",23,70
"59",23,71
"60",23,72
"61",23,73
"62",23,74
"63",22,75
"64",22,76
"65",22,77
"66",23,78
"67",23,79
"68",23,80
"69",24,81
"70",25,82
"71",26,83
"72",26,84
"73",27,85
"74",28,86
"75",29,87
"76",29,88
"77",30,89
"78",31,89
"79",32,90
"80",33,91
"81",34,92
"82",35,93
"83",36,94
"84",37,95
"85",38,96
"86",38,97
"87",38,98
"88",38,99
"89",38,100
"90",38,101
"91",37,102
"92",36,103
"93",36,104
"94",35,105
"95",35,106
"96",35,107
"97",35,108
"98",35,109
"99",35,110
"100",35,111
"101",35,112
"102",35,113
"103",35,114
"104",36,115
"105",36,116
"106",36,117
"107",36,118
"108",36,119
"109",36,120
"110",37,121
"111",37,122
"112",37,123
"113",37,124
"114",37,125
"115",37,126
"116",37,127
"117",37,128
"118",38,129
"119",38,130
"120",39,131
"121",40,132
"122",41,132
"123",42,132
"124",43,133
"125",44,133
"126",45,133
"127",46,133
"128",47,133
"129",48,133
"130",49,133
"131",50,132
"132",51,132
"133",52,132
"134",53,132
"135",54,131
"136",55,131
"137",56,131
"138",57,132
"139",58,132
"140",59,132
"141",60,133
"142",61,133
"143",62,133
"144",63,132
"145",64,132
"146",64,131
"147",65,130
"148",65,129
"149",66,128
"150",66,127
"151",67,126
"152",67,125
"153",67,124
"154",68,123
"155",68,122
"156",69,121
"157",69,120
"158",69,119
"159",70,118
"160",70,117
"161",71,116
"162",71,115
"163",72,114
"164",72,113
"165",72,112
"166",73,111
"167",73,110
"168",74,109
"169",75,108
"170",76,107
"171",77,106
"172",78,105
"173",79,104
"174",80,103
"175",80,102
"176",81,101
"177",82,100
"178",83,99
"179",84,98
"180",85,97
"181",86,96
"182",87,96
"183",88,95
"184",89,94
"185",90,93
"186",91,93
"187",92,92
"188",93,91
"189",93,90
"190",94,89
"191",94,88
"192",94,87
"193",94,86
"194",94,85
"195",94,84
"196",94,83
"197",94,82
"198",94,81
"199",94,80
"200",94,79
"201",94,78
"202",94,77
"203",94,76
"204",94,75
"205",94,74
"206",93,73
"207",93,72
"208",92,71
"209",92,70
"210",91,69
"211",90,68
"212",89,67
"213",88,66
"214",87,65
"215",86,64
"216",86,63
"217",86,62
"218",86,61
"219",86,60
"220",85,59
"221",85,58
"222",85,57
"223",84,56
"224",84,55
"225",83,54
"226",83,53
"227",82,52
"228",82,51
"229",81,50
"230",80,49
"231",80,48
"232",79,47
"233",79,46
"234",79,45
"235",78,44
"236",78,43
"237",78,42
"238",77,41
"239",77,40
"240",76,39
"241",75,38
"242",75,37
"243",74,36
"244",74,35
"245",73,34
"246",73,33
"247",72,32
"248",71,31
"249",70,30
"250",69,29
"251",68,28
"252",67,27
"253",66,26
"254",66,25
"255",65,24
"256",65,23
"257",64,22
"258",64,21
"259",63,20
"260",63,19
"261",62,18
"262",61,17
"263",60,16
"264",59,16
"265",58,16
"266",57,15
"267",56,15
"268",55,15
"269",54,15
"270",53,15
"271",52,15
"272",51,15
"273",50,15
