"","V1","V2"
"1",46,7
"2",45,8
"3",44,9
"4",44,10
"5",43,11
"6",43,12
"7",42,13
"8",42,14
"9",41,15
"10",41,16
"11",40,17
"12",40,18
"13",40,19
"14",39,20
"15",39,21
"16",38,22
"17",38,23
"18",38,24
"19",37,25
"20",37,26
"21",37,27
"22",36,28
"23",36,29
"24",36,30
"25",35,31
"26",35,32
"27",34,33
"28",34,34
"29",33,35
"30",32,36
"31",31,37
"32",31,38
"33",30,39
"34",30,40
"35",29,41
"36",29,42
"37",28,43
"38",28,44
"39",27,45
"40",27,46
"41",26,47
"42",26,48
"43",25,49
"44",25,50
"45",24,51
"46",24,52
"47",23,53
"48",23,54
"49",22,55
"50",21,56
"51",21,57
"52",20,58
"53",20,59
"54",20,60
"55",20,61
"56",19,62
"57",19,63
"58",19,64
"59",19,65
"60",19,66
"61",19,67
"62",19,68
"63",18,69
"64",18,70
"65",18,71
"66",18,72
"67",18,73
"68",18,74
"69",17,75
"70",17,76
"71",17,77
"72",17,78
"73",17,79
"74",17,80
"75",16,81
"76",16,82
"77",16,83
"78",16,84
"79",16,85
"80",16,86
"81",16,87
"82",16,88
"83",16,89
"84",15,90
"85",15,91
"86",15,92
"87",15,93
"88",15,94
"89",15,95
"90",15,96
"91",15,97
"92",15,98
"93",15,99
"94",15,100
"95",15,101
"96",15,102
"97",15,103
"98",15,104
"99",15,105
"100",15,106
"101",15,107
"102",15,108
"103",14,109
"104",14,110
"105",13,111
"106",13,112
"107",12,113
"108",12,114
"109",12,115
"110",12,116
"111",12,117
"112",12,118
"113",12,119
"114",13,120
"115",13,121
"116",13,122
"117",13,123
"118",13,124
"119",13,125
"120",13,126
"121",13,127
"122",14,128
"123",14,129
"124",15,130
"125",16,131
"126",16,132
"127",17,133
"128",17,134
"129",18,135
"130",18,136
"131",18,137
"132",18,138
"133",18,139
"134",18,140
"135",19,141
"136",19,142
"137",20,143
"138",20,144
"139",21,145
"140",21,146
"141",22,147
"142",22,148
"143",22,149
"144",22,150
"145",22,151
"146",23,152
"147",23,153
"148",23,154
"149",24,155
"150",25,156
"151",25,157
"152",26,158
"153",27,159
"154",27,160
"155",28,161
"156",28,162
"157",28,163
"158",29,164
"159",29,165
"160",29,166
"161",30,167
"162",30,168
"163",31,169
"164",31,170
"165",31,171
"166",31,172
"167",31,173
"168",31,174
"169",31,175
"170",31,176
"171",31,177
"172",32,178
"173",32,179
"174",32,180
"175",33,181
"176",34,182
"177",35,182
"178",36,183
"179",37,183
"180",38,183
"181",39,183
"182",40,184
"183",41,184
"184",42,184
"185",43,184
"186",44,184
"187",45,183
"188",46,183
"189",47,183
"190",48,183
"191",49,183
"192",50,182
"193",51,181
"194",52,180
"195",52,179
"196",53,178
"197",53,177
"198",53,176
"199",54,175
"200",54,174
"201",55,173
"202",55,172
"203",56,171
"204",57,170
"205",57,169
"206",57,168
"207",58,167
"208",58,166
"209",59,165
"210",59,164
"211",60,163
"212",60,162
"213",61,161
"214",61,160
"215",62,159
"216",63,158
"217",64,157
"218",65,156
"219",66,155
"220",66,154
"221",67,153
"222",68,152
"223",69,151
"224",69,150
"225",70,149
"226",71,148
"227",71,147
"228",72,146
"229",72,145
"230",72,144
"231",73,143
"232",73,142
"233",73,141
"234",74,140
"235",74,139
"236",74,138
"237",74,137
"238",75,136
"239",75,135
"240",75,134
"241",75,133
"242",75,132
"243",75,131
"244",75,130
"245",75,129
"246",75,128
"247",75,127
"248",75,126
"249",75,125
"250",75,124
"251",75,123
"252",75,122
"253",75,121
"254",75,120
"255",75,119
"256",75,118
"257",75,117
"258",75,116
"259",75,115
"260",75,114
"261",75,113
"262",75,112
"263",75,111
"264",75,110
"265",75,109
"266",75,108
"267",75,107
"268",74,106
"269",74,105
"270",74,104
"271",74,103
"272",74,102
"273",74,101
"274",74,100
"275",74,99
"276",74,98
"277",74,97
"278",74,96
"279",73,95
"280",73,94
"281",73,93
"282",73,92
"283",73,91
"284",73,90
"285",73,89
"286",73,88
"287",73,87
"288",73,86
"289",73,85
"290",72,84
"291",72,83
"292",72,82
"293",72,81
"294",72,80
"295",72,79
"296",72,78
"297",72,77
"298",72,76
"299",72,75
"300",72,74
"301",72,73
"302",72,72
"303",72,71
"304",72,70
"305",72,69
"306",72,68
"307",72,67
"308",72,66
"309",72,65
"310",71,64
"311",71,63
"312",71,62
"313",71,61
"314",71,60
"315",71,59
"316",71,58
"317",71,57
"318",71,56
"319",71,55
"320",71,54
"321",71,53
"322",71,52
"323",71,51
"324",71,50
"325",70,49
"326",70,48
"327",70,47
"328",70,46
"329",70,45
"330",70,44
"331",70,43
"332",70,42
"333",70,41
"334",70,40
"335",70,39
"336",69,38
"337",69,37
"338",68,36
"339",68,35
"340",67,34
"341",67,33
"342",66,32
"343",66,31
"344",65,30
"345",64,29
"346",64,28
"347",63,27
"348",62,26
"349",62,25
"350",61,24
"351",60,23
"352",60,22
"353",59,21
"354",58,20
"355",58,19
"356",57,18
"357",56,17
"358",56,16
"359",55,15
"360",54,14
"361",54,13
"362",53,12
"363",52,11
"364",52,10
"365",51,9
"366",50,8
"367",49,8
"368",48,7
"369",47,7
