"","V1","V2"
"1",23,8
"2",23,9
"3",22,10
"4",22,11
"5",22,12
"6",22,13
"7",21,14
"8",20,15
"9",20,16
"10",19,17
"11",18,18
"12",18,19
"13",17,20
"14",16,21
"15",15,22
"16",14,22
"17",13,23
"18",13,24
"19",12,25
"20",12,26
"21",11,27
"22",11,28
"23",11,29
"24",11,30
"25",10,31
"26",10,32
"27",10,33
"28",10,34
"29",10,35
"30",9,36
"31",9,37
"32",9,38
"33",9,39
"34",9,40
"35",9,41
"36",8,42
"37",8,43
"38",8,44
"39",7,45
"40",7,46
"41",7,47
"42",7,48
"43",6,49
"44",6,50
"45",6,51
"46",6,52
"47",5,53
"48",5,54
"49",5,55
"50",5,56
"51",5,57
"52",4,58
"53",4,59
"54",4,60
"55",4,61
"56",4,62
"57",4,63
"58",4,64
"59",4,65
"60",4,66
"61",3,67
"62",3,68
"63",3,69
"64",3,70
"65",3,71
"66",3,72
"67",3,73
"68",3,74
"69",3,75
"70",3,76
"71",3,77
"72",4,78
"73",4,79
"74",4,80
"75",4,81
"76",5,82
"77",5,83
"78",5,84
"79",6,85
"80",6,86
"81",6,87
"82",6,88
"83",6,89
"84",6,90
"85",7,91
"86",7,92
"87",7,93
"88",7,94
"89",7,95
"90",8,96
"91",8,97
"92",8,98
"93",9,99
"94",9,100
"95",9,101
"96",10,102
"97",10,103
"98",10,104
"99",11,105
"100",11,106
"101",11,107
"102",12,108
"103",12,109
"104",12,110
"105",13,111
"106",13,112
"107",13,113
"108",14,114
"109",14,115
"110",14,116
"111",15,117
"112",16,118
"113",16,119
"114",17,119
"115",18,120
"116",19,121
"117",20,121
"118",21,122
"119",22,122
"120",23,122
"121",24,122
"122",25,122
"123",26,121
"124",26,120
"125",27,119
"126",27,118
"127",27,117
"128",28,116
"129",28,115
"130",29,114
"131",29,113
"132",30,112
"133",31,111
"134",32,110
"135",33,109
"136",34,108
"137",35,107
"138",35,106
"139",35,105
"140",35,104
"141",36,103
"142",36,102
"143",36,101
"144",36,100
"145",36,99
"146",36,98
"147",36,97
"148",35,96
"149",35,95
"150",35,94
"151",35,93
"152",35,92
"153",35,91
"154",35,90
"155",35,89
"156",35,88
"157",35,87
"158",35,86
"159",35,85
"160",34,84
"161",34,83
"162",34,82
"163",34,81
"164",34,80
"165",34,79
"166",34,78
"167",34,77
"168",34,76
"169",34,75
"170",34,74
"171",34,73
"172",34,72
"173",34,71
"174",34,70
"175",34,69
"176",34,68
"177",34,67
"178",34,66
"179",34,65
"180",34,64
"181",34,63
"182",35,62
"183",35,61
"184",35,60
"185",35,59
"186",35,58
"187",34,57
"188",34,56
"189",34,55
"190",34,54
"191",33,53
"192",33,52
"193",33,51
"194",33,50
"195",33,49
"196",33,48
"197",33,47
"198",34,46
"199",34,45
"200",34,44
"201",34,43
"202",34,42
"203",34,41
"204",34,40
"205",34,39
"206",34,38
"207",34,37
"208",34,36
"209",34,35
"210",34,34
"211",34,33
"212",34,32
"213",34,31
"214",34,30
"215",34,29
"216",34,28
"217",34,27
"218",34,26
"219",33,25
"220",33,24
"221",33,23
"222",33,22
"223",33,21
"224",33,20
"225",33,19
"226",32,18
"227",32,17
"228",32,16
"229",31,15
"230",31,14
"231",31,13
"232",30,12
"233",29,11
"234",28,10
"235",27,9
"236",26,8
"237",25,8
"238",24,8
