"","V1","V2"
"1",225,216
"2",224,217
"3",223,217
"4",222,218
"5",221,218
"6",220,219
"7",219,220
"8",218,220
"9",217,221
"10",216,221
"11",215,222
"12",214,223
"13",213,223
"14",212,224
"15",211,224
"16",210,225
"17",209,225
"18",208,225
"19",207,226
"20",206,227
"21",205,227
"22",204,228
"23",203,228
"24",202,228
"25",201,229
"26",200,229
"27",199,230
"28",198,230
"29",197,231
"30",196,231
"31",195,232
"32",194,232
"33",193,233
"34",192,233
"35",191,234
"36",190,234
"37",189,234
"38",188,234
"39",187,235
"40",186,235
"41",185,235
"42",184,236
"43",183,236
"44",182,236
"45",181,237
"46",180,237
"47",179,238
"48",178,238
"49",177,238
"50",176,239
"51",175,239
"52",174,239
"53",173,239
"54",172,240
"55",171,240
"56",170,240
"57",169,240
"58",168,241
"59",167,241
"60",166,242
"61",165,243
"62",164,244
"63",163,245
"64",162,246
"65",161,247
"66",161,248
"67",160,249
"68",159,250
"69",159,251
"70",158,252
"71",157,253
"72",156,254
"73",155,255
"74",154,255
"75",153,256
"76",152,257
"77",151,258
"78",150,258
"79",149,259
"80",148,259
"81",147,259
"82",146,260
"83",146,261
"84",145,262
"85",145,263
"86",144,264
"87",143,265
"88",142,266
"89",141,267
"90",140,267
"91",139,268
"92",138,269
"93",138,270
"94",137,271
"95",136,272
"96",135,273
"97",134,274
"98",134,275
"99",133,276
"100",132,277
"101",132,278
"102",131,279
"103",130,280
"104",129,281
"105",128,282
"106",127,283
"107",126,284
"108",125,285
"109",124,286
"110",124,287
"111",123,288
"112",123,289
"113",123,290
"114",123,291
"115",122,292
"116",122,293
"117",122,294
"118",122,295
"119",122,296
"120",122,297
"121",121,298
"122",121,299
"123",121,300
"124",121,301
"125",121,302
"126",121,303
"127",120,304
"128",120,305
"129",120,306
"130",119,307
"131",119,308
"132",119,309
"133",119,310
"134",119,311
"135",118,312
"136",118,313
"137",118,314
"138",117,315
"139",117,316
"140",117,317
"141",117,318
"142",116,319
"143",116,320
"144",116,321
"145",116,322
"146",116,323
"147",116,324
"148",115,325
"149",115,326
"150",115,327
"151",115,328
"152",114,329
"153",114,330
"154",114,331
"155",114,332
"156",114,333
"157",113,334
"158",113,335
"159",113,336
"160",113,337
"161",113,338
"162",113,339
"163",112,340
"164",112,341
"165",112,342
"166",112,343
"167",112,344
"168",112,345
"169",112,346
"170",111,347
"171",111,348
"172",111,349
"173",111,350
"174",111,351
"175",111,352
"176",111,353
"177",111,354
"178",110,355
"179",110,356
"180",110,357
"181",110,358
"182",110,359
"183",110,360
"184",110,361
"185",109,362
"186",109,363
"187",109,364
"188",109,365
"189",109,366
"190",109,367
"191",109,368
"192",109,369
"193",108,370
"194",108,371
"195",108,372
"196",108,373
"197",108,374
"198",108,375
"199",108,376
"200",108,377
"201",108,378
"202",108,379
"203",108,380
"204",108,381
"205",108,382
"206",108,383
"207",108,384
"208",108,385
"209",108,386
"210",107,387
"211",107,388
"212",107,389
"213",107,390
"214",107,391
"215",106,392
"216",106,393
"217",106,394
"218",106,395
"219",106,396
"220",106,397
"221",106,398
"222",105,399
"223",105,400
"224",105,401
"225",105,402
"226",105,403
"227",105,404
"228",105,405
"229",104,406
"230",104,407
"231",104,408
"232",104,409
"233",104,410
"234",104,411
"235",104,412
"236",103,413
"237",103,414
"238",103,415
"239",103,416
"240",103,417
"241",103,418
"242",103,419
"243",103,420
"244",102,421
"245",102,422
"246",102,423
"247",102,424
"248",101,425
"249",101,426
"250",101,427
"251",101,428
"252",101,429
"253",100,430
"254",100,431
"255",100,432
"256",100,433
"257",100,434
"258",100,435
"259",100,436
"260",100,437
"261",100,438
"262",100,439
"263",100,440
"264",100,441
"265",100,442
"266",100,443
"267",100,444
"268",100,445
"269",100,446
"270",100,447
"271",100,448
"272",100,449
"273",100,450
"274",100,451
"275",100,452
"276",100,453
"277",100,454
"278",100,455
"279",100,456
"280",100,457
"281",100,458
"282",100,459
"283",100,460
"284",100,461
"285",100,462
"286",100,463
"287",100,464
"288",100,465
"289",99,466
"290",99,467
"291",99,468
"292",99,469
"293",99,470
"294",99,471
"295",99,472
"296",99,473
"297",99,474
"298",99,475
"299",99,476
"300",99,477
"301",99,478
"302",99,479
"303",98,480
"304",98,481
"305",98,482
"306",98,483
"307",98,484
"308",98,485
"309",98,486
"310",98,487
"311",98,488
"312",98,489
"313",98,490
"314",98,491
"315",98,492
"316",97,493
"317",98,494
"318",98,495
"319",98,496
"320",98,497
"321",98,498
"322",98,499
"323",98,500
"324",99,501
"325",99,502
"326",99,503
"327",100,504
"328",100,505
"329",100,506
"330",100,507
"331",100,508
"332",100,509
"333",100,510
"334",100,511
"335",100,512
"336",100,513
"337",100,514
"338",100,515
"339",100,516
"340",100,517
"341",100,518
"342",100,519
"343",100,520
"344",100,521
"345",100,522
"346",100,523
"347",100,524
"348",100,525
"349",100,526
"350",100,527
"351",100,528
"352",100,529
"353",100,530
"354",100,531
"355",100,532
"356",100,533
"357",100,534
"358",100,535
"359",101,536
"360",101,537
"361",101,538
"362",101,539
"363",101,540
