"","V1","V2"
"1",51,5
"2",50,6
"3",49,6
"4",48,6
"5",48,7
"6",48,8
"7",47,9
"8",47,10
"9",47,11
"10",47,12
"11",47,13
"12",47,14
"13",47,15
"14",47,16
"15",47,17
"16",47,18
"17",46,19
"18",46,20
"19",45,21
"20",45,22
"21",44,23
"22",44,24
"23",44,25
"24",43,26
"25",43,27
"26",43,28
"27",43,29
"28",42,30
"29",42,31
"30",42,32
"31",41,33
"32",41,34
"33",40,35
"34",40,36
"35",39,37
"36",38,38
"37",37,39
"38",37,40
"39",36,41
"40",35,42
"41",34,43
"42",34,44
"43",33,45
"44",32,46
"45",31,47
"46",30,48
"47",29,49
"48",28,50
"49",28,51
"50",27,52
"51",26,53
"52",26,54
"53",26,55
"54",25,56
"55",24,56
"56",23,57
"57",22,58
"58",21,58
"59",20,59
"60",19,60
"61",18,61
"62",18,62
"63",17,63
"64",17,64
"65",16,65
"66",16,66
"67",16,67
"68",15,68
"69",15,69
"70",15,70
"71",15,71
"72",15,72
"73",15,73
"74",15,74
"75",15,75
"76",15,76
"77",15,77
"78",15,78
"79",16,79
"80",16,80
"81",16,81
"82",16,82
"83",16,83
"84",16,84
"85",16,85
"86",16,86
"87",16,87
"88",15,88
"89",15,89
"90",15,90
"91",15,91
"92",14,92
"93",14,93
"94",14,94
"95",13,95
"96",13,96
"97",12,97
"98",12,98
"99",11,99
"100",11,100
"101",10,101
"102",10,102
"103",10,103
"104",9,104
"105",9,105
"106",9,106
"107",10,107
"108",10,108
"109",10,109
"110",10,110
"111",11,111
"112",11,112
"113",11,113
"114",12,114
"115",12,115
"116",12,116
"117",12,117
"118",12,118
"119",13,119
"120",13,120
"121",13,121
"122",13,122
"123",14,123
"124",14,124
"125",14,125
"126",15,126
"127",15,127
"128",16,128
"129",16,129
"130",17,130
"131",17,131
"132",18,132
"133",19,132
"134",20,133
"135",21,133
"136",22,134
"137",23,134
"138",24,134
"139",25,134
"140",26,135
"141",27,135
"142",28,136
"143",29,136
"144",30,137
"145",31,138
"146",32,138
"147",33,139
"148",34,140
"149",35,141
"150",36,142
"151",37,143
"152",38,144
"153",38,145
"154",39,146
"155",39,147
"156",40,148
"157",40,149
"158",41,150
"159",42,151
"160",43,152
"161",43,153
"162",44,154
"163",44,155
"164",45,156
"165",45,157
"166",46,158
"167",46,159
"168",46,160
"169",46,161
"170",46,162
"171",47,163
"172",47,164
"173",47,165
"174",47,166
"175",47,167
"176",47,168
"177",47,169
"178",47,170
"179",48,171
"180",48,172
"181",49,173
"182",49,174
"183",50,175
"184",50,176
"185",50,177
"186",51,178
"187",51,179
"188",51,180
"189",51,181
"190",51,182
"191",51,183
"192",51,184
"193",52,185
"194",52,186
"195",53,187
"196",54,188
"197",55,188
"198",56,189
"199",57,189
"200",58,189
"201",59,189
"202",60,189
"203",61,189
"204",62,188
"205",63,187
"206",64,186
"207",64,185
"208",65,184
"209",65,183
"210",66,182
"211",67,181
"212",68,180
"213",69,179
"214",69,178
"215",70,177
"216",70,176
"217",71,175
"218",71,174
"219",71,173
"220",72,172
"221",72,171
"222",72,170
"223",72,169
"224",73,168
"225",73,167
"226",73,166
"227",73,165
"228",73,164
"229",73,163
"230",73,162
"231",74,161
"232",74,160
"233",74,159
"234",74,158
"235",74,157
"236",74,156
"237",75,155
"238",75,154
"239",75,153
"240",75,152
"241",75,151
"242",75,150
"243",75,149
"244",75,148
"245",75,147
"246",75,146
"247",75,145
"248",75,144
"249",75,143
"250",75,142
"251",75,141
"252",75,140
"253",76,139
"254",76,138
"255",77,137
"256",77,136
"257",78,135
"258",78,134
"259",79,133
"260",79,132
"261",80,131
"262",81,130
"263",82,129
"264",83,128
"265",84,127
"266",85,127
"267",86,127
"268",87,126
"269",88,126
"270",89,125
"271",90,125
"272",91,124
"273",92,123
"274",93,122
"275",94,121
"276",94,120
"277",95,119
"278",95,118
"279",96,117
"280",96,116
"281",96,115
"282",97,114
"283",97,113
"284",97,112
"285",97,111
"286",97,110
"287",97,109
"288",97,108
"289",96,107
"290",96,106
"291",96,105
"292",96,104
"293",96,103
"294",96,102
"295",96,101
"296",96,100
"297",96,99
"298",96,98
"299",96,97
"300",96,96
"301",96,95
"302",96,94
"303",96,93
"304",96,92
"305",96,91
"306",95,90
"307",95,89
"308",95,88
"309",95,87
"310",94,86
"311",94,85
"312",94,84
"313",93,83
"314",93,82
"315",93,81
"316",93,80
"317",93,79
"318",93,78
"319",93,77
"320",93,76
"321",92,75
"322",92,74
"323",91,73
"324",91,72
"325",90,71
"326",90,70
"327",89,69
"328",88,68
"329",88,67
"330",87,66
"331",86,65
"332",85,64
"333",85,63
"334",84,62
"335",83,61
"336",83,60
"337",82,59
"338",81,58
"339",80,57
"340",80,56
"341",79,55
"342",78,54
"343",77,53
"344",76,52
"345",75,51
"346",75,50
"347",74,49
"348",74,48
"349",73,47
"350",73,46
"351",72,45
"352",72,44
"353",72,43
"354",72,42
"355",72,41
"356",72,40
"357",72,39
"358",73,38
"359",73,37
"360",73,36
"361",73,35
"362",72,34
"363",72,33
"364",72,32
"365",72,31
"366",71,30
"367",71,29
"368",71,28
"369",71,27
"370",71,26
"371",71,25
"372",71,24
"373",70,23
"374",70,22
"375",70,21
"376",69,20
"377",69,19
"378",69,18
"379",69,17
"380",68,16
"381",68,15
"382",67,14
"383",66,13
"384",65,12
"385",64,11
"386",63,11
"387",62,10
"388",61,9
"389",60,9
"390",59,8
"391",58,8
"392",57,7
"393",56,7
"394",55,6
"395",54,6
"396",53,6
"397",52,5
