"","V1","V2"
"1",85,12
"2",84,13
"3",83,14
"4",83,15
"5",82,16
"6",81,17
"7",81,18
"8",80,19
"9",79,20
"10",78,21
"11",78,22
"12",77,23
"13",77,24
"14",76,25
"15",75,26
"16",75,27
"17",74,28
"18",73,29
"19",73,30
"20",72,31
"21",71,32
"22",71,33
"23",70,34
"24",69,35
"25",69,36
"26",68,37
"27",67,38
"28",67,39
"29",66,40
"30",66,41
"31",66,42
"32",65,43
"33",65,44
"34",65,45
"35",64,46
"36",64,47
"37",64,48
"38",64,49
"39",63,50
"40",63,51
"41",63,52
"42",62,53
"43",62,54
"44",61,55
"45",60,56
"46",59,57
"47",58,57
"48",57,58
"49",56,59
"50",55,60
"51",55,61
"52",55,62
"53",55,63
"54",54,64
"55",54,65
"56",54,66
"57",54,67
"58",54,68
"59",54,69
"60",54,70
"61",54,71
"62",54,72
"63",54,73
"64",54,74
"65",53,75
"66",53,76
"67",52,77
"68",52,78
"69",51,79
"70",51,80
"71",50,81
"72",49,82
"73",49,83
"74",48,84
"75",48,85
"76",48,86
"77",48,87
"78",48,88
"79",48,89
"80",48,90
"81",48,91
"82",48,92
"83",48,93
"84",48,94
"85",48,95
"86",48,96
"87",48,97
"88",49,98
"89",49,99
"90",50,100
"91",50,101
"92",51,102
"93",51,103
"94",51,104
"95",51,105
"96",51,106
"97",51,107
"98",51,108
"99",51,109
"100",51,110
"101",51,111
"102",51,112
"103",51,113
"104",52,114
"105",52,115
"106",52,116
"107",53,117
"108",54,118
"109",55,118
"110",56,119
"111",57,119
"112",58,119
"113",59,120
"114",60,121
"115",61,122
"116",62,123
"117",63,124
"118",64,125
"119",65,126
"120",66,127
"121",66,128
"122",66,129
"123",67,130
"124",67,131
"125",67,132
"126",67,133
"127",68,134
"128",68,135
"129",68,136
"130",69,137
"131",69,138
"132",69,139
"133",69,140
"134",70,141
"135",70,142
"136",71,143
"137",71,144
"138",72,145
"139",72,146
"140",72,147
"141",73,148
"142",73,149
"143",73,150
"144",73,151
"145",74,152
"146",74,153
"147",75,154
"148",75,155
"149",76,156
"150",76,157
"151",77,158
"152",78,159
"153",79,159
"154",80,160
"155",81,160
"156",82,160
"157",83,160
"158",84,160
"159",85,160
"160",86,160
"161",87,160
"162",88,160
"163",89,160
"164",90,160
"165",91,160
"166",92,160
"167",93,160
"168",94,160
"169",95,160
"170",96,160
"171",97,160
"172",98,160
"173",99,160
"174",100,159
"175",101,158
"176",101,157
"177",102,156
"178",102,155
"179",102,154
"180",102,153
"181",102,152
"182",102,151
"183",102,150
"184",102,149
"185",102,148
"186",102,147
"187",102,146
"188",102,145
"189",103,144
"190",103,143
"191",104,142
"192",104,141
"193",105,140
"194",105,139
"195",106,138
"196",107,137
"197",107,136
"198",108,135
"199",108,134
"200",109,133
"201",109,132
"202",110,131
"203",110,130
"204",111,129
"205",111,128
"206",112,127
"207",113,126
"208",114,125
"209",115,125
"210",116,125
"211",117,124
"212",118,124
"213",119,124
"214",120,124
"215",121,123
"216",122,123
"217",123,122
"218",124,121
"219",125,121
"220",126,120
"221",127,119
"222",128,119
"223",129,118
"224",130,117
"225",131,116
"226",132,116
"227",133,115
"228",134,114
"229",135,113
"230",136,112
"231",136,111
"232",136,110
"233",137,109
"234",137,108
"235",137,107
"236",137,106
"237",137,105
"238",137,104
"239",137,103
"240",136,102
"241",136,101
"242",135,100
"243",134,99
"244",134,98
"245",134,97
"246",134,96
"247",134,95
"248",134,94
"249",134,93
"250",134,92
"251",134,91
"252",134,90
"253",134,89
"254",134,88
"255",134,87
"256",133,86
"257",133,85
"258",133,84
"259",132,83
"260",132,82
"261",132,81
"262",132,80
"263",131,79
"264",131,78
"265",131,77
"266",131,76
"267",131,75
"268",131,74
"269",131,73
"270",131,72
"271",131,71
"272",131,70
"273",130,69
"274",130,68
"275",129,67
"276",129,66
"277",128,65
"278",127,64
"279",127,63
"280",127,62
"281",127,61
"282",127,60
"283",127,59
"284",127,58
"285",127,57
"286",127,56
"287",126,55
"288",126,54
"289",125,53
"290",125,52
"291",124,51
"292",123,50
"293",122,49
"294",122,48
"295",122,47
"296",122,46
"297",122,45
"298",122,44
"299",121,43
"300",121,42
"301",121,41
"302",120,40
"303",119,40
"304",118,39
"305",117,38
"306",116,37
"307",116,36
"308",116,35
"309",115,34
"310",115,33
"311",115,32
"312",114,31
"313",114,30
"314",113,29
"315",112,28
"316",111,27
"317",110,27
"318",109,27
"319",108,26
"320",107,26
"321",106,26
"322",105,26
"323",104,26
"324",103,25
"325",102,25
"326",101,24
"327",101,23
"328",100,22
"329",100,21
"330",99,20
"331",98,19
"332",97,18
"333",96,18
"334",95,17
"335",94,16
"336",93,15
"337",92,14
"338",91,13
"339",90,13
"340",89,12
"341",88,12
"342",87,12
"343",86,12
