"","V1","V2"
"1",62,11
"2",61,12
"3",61,13
"4",60,14
"5",59,15
"6",59,16
"7",58,17
"8",58,18
"9",57,19
"10",57,20
"11",56,21
"12",56,22
"13",55,23
"14",54,24
"15",54,25
"16",53,26
"17",53,27
"18",52,28
"19",52,29
"20",51,30
"21",51,31
"22",50,32
"23",50,33
"24",49,34
"25",49,35
"26",48,36
"27",48,37
"28",48,38
"29",47,39
"30",47,40
"31",47,41
"32",46,42
"33",46,43
"34",46,44
"35",46,45
"36",45,46
"37",45,47
"38",45,48
"39",45,49
"40",44,50
"41",44,51
"42",44,52
"43",44,53
"44",44,54
"45",43,55
"46",43,56
"47",43,57
"48",43,58
"49",43,59
"50",42,60
"51",42,61
"52",41,62
"53",41,63
"54",40,64
"55",40,65
"56",39,66
"57",39,67
"58",39,68
"59",38,69
"60",38,70
"61",38,71
"62",37,72
"63",37,73
"64",37,74
"65",36,75
"66",36,76
"67",36,77
"68",36,78
"69",36,79
"70",36,80
"71",36,81
"72",36,82
"73",36,83
"74",36,84
"75",36,85
"76",36,86
"77",36,87
"78",37,88
"79",37,89
"80",37,90
"81",37,91
"82",37,92
"83",37,93
"84",37,94
"85",37,95
"86",37,96
"87",36,97
"88",36,98
"89",35,99
"90",35,100
"91",35,101
"92",34,102
"93",34,103
"94",34,104
"95",33,105
"96",33,106
"97",33,107
"98",33,108
"99",32,109
"100",32,110
"101",32,111
"102",32,112
"103",32,113
"104",32,114
"105",32,115
"106",32,116
"107",32,117
"108",32,118
"109",31,119
"110",31,120
"111",31,121
"112",31,122
"113",31,123
"114",31,124
"115",31,125
"116",31,126
"117",31,127
"118",31,128
"119",31,129
"120",31,130
"121",30,131
"122",30,132
"123",30,133
"124",30,134
"125",30,135
"126",30,136
"127",30,137
"128",30,138
"129",30,139
"130",30,140
"131",30,141
"132",30,142
"133",31,143
"134",31,144
"135",31,145
"136",32,146
"137",32,147
"138",33,148
"139",33,149
"140",34,150
"141",34,151
"142",35,152
"143",35,153
"144",36,154
"145",36,155
"146",37,156
"147",37,157
"148",38,158
"149",38,159
"150",39,160
"151",39,161
"152",40,162
"153",40,163
"154",41,164
"155",41,165
"156",42,166
"157",42,167
"158",43,168
"159",43,169
"160",44,170
"161",44,171
"162",45,172
"163",46,173
"164",46,174
"165",47,175
"166",48,176
"167",49,176
"168",50,176
"169",51,176
"170",52,176
"171",53,176
"172",54,176
"173",55,176
"174",56,176
"175",57,176
"176",58,176
"177",59,176
"178",60,175
"179",61,175
"180",62,175
"181",63,175
"182",64,175
"183",65,175
"184",66,175
"185",67,175
"186",68,175
"187",69,176
"188",70,176
"189",71,176
"190",72,176
"191",73,176
"192",74,176
"193",75,176
"194",76,176
"195",77,176
"196",78,176
"197",79,175
"198",80,175
"199",81,175
"200",82,175
"201",83,174
"202",84,174
"203",84,173
"204",84,172
"205",85,171
"206",85,170
"207",85,169
"208",85,168
"209",85,167
"210",85,166
"211",85,165
"212",86,164
"213",86,163
"214",86,162
"215",87,161
"216",87,160
"217",88,159
"218",89,158
"219",90,157
"220",91,156
"221",92,155
"222",93,154
"223",94,153
"224",95,152
"225",96,151
"226",97,150
"227",98,149
"228",98,148
"229",99,147
"230",99,146
"231",99,145
"232",100,144
"233",100,143
"234",100,142
"235",100,141
"236",100,140
"237",100,139
"238",100,138
"239",100,137
"240",100,136
"241",100,135
"242",100,134
"243",100,133
"244",100,132
"245",100,131
"246",100,130
"247",100,129
"248",100,128
"249",100,127
"250",100,126
"251",99,125
"252",99,124
"253",99,123
"254",99,122
"255",99,121
"256",98,120
"257",98,119
"258",98,118
"259",98,117
"260",98,116
"261",98,115
"262",97,114
"263",97,113
"264",97,112
"265",97,111
"266",96,110
"267",96,109
"268",96,108
"269",96,107
"270",96,106
"271",95,105
"272",95,104
"273",95,103
"274",95,102
"275",94,101
"276",94,100
"277",94,99
"278",94,98
"279",94,97
"280",94,96
"281",94,95
"282",94,94
"283",94,93
"284",94,92
"285",94,91
"286",94,90
"287",93,89
"288",93,88
"289",93,87
"290",93,86
"291",93,85
"292",93,84
"293",93,83
"294",93,82
"295",93,81
"296",93,80
"297",93,79
"298",93,78
"299",93,77
"300",93,76
"301",93,75
"302",93,74
"303",92,73
"304",92,72
"305",92,71
"306",92,70
"307",92,69
"308",91,68
"309",91,67
"310",91,66
"311",90,65
"312",90,64
"313",90,63
"314",89,62
"315",89,61
"316",89,60
"317",89,59
"318",89,58
"319",88,57
"320",88,56
"321",88,55
"322",88,54
"323",88,53
"324",87,52
"325",87,51
"326",87,50
"327",87,49
"328",87,48
"329",87,47
"330",87,46
"331",87,45
"332",87,44
"333",87,43
"334",87,42
"335",87,41
"336",87,40
"337",87,39
"338",87,38
"339",86,37
"340",86,36
"341",85,35
"342",85,34
"343",84,33
"344",83,32
"345",83,31
"346",82,30
"347",81,29
"348",80,28
"349",80,27
"350",79,26
"351",78,25
"352",77,24
"353",77,23
"354",76,22
"355",75,21
"356",74,20
"357",73,19
"358",73,18
"359",72,17
"360",71,16
"361",70,15
"362",69,14
"363",68,13
"364",67,12
"365",66,11
"366",65,11
"367",64,11
"368",63,11
