"","V1","V2"
"1",182,147
"2",181,148
"3",180,148
"4",179,148
"5",178,148
"6",177,148
"7",176,148
"8",175,148
"9",174,149
"10",173,149
"11",172,149
"12",171,149
"13",170,149
"14",169,150
"15",168,150
"16",167,150
"17",166,150
"18",165,150
"19",164,150
"20",163,150
"21",162,150
"22",161,150
"23",160,151
"24",159,151
"25",158,151
"26",157,151
"27",156,152
"28",155,152
"29",154,152
"30",153,152
"31",152,153
"32",151,154
"33",150,155
"34",149,156
"35",148,157
"36",147,158
"37",146,158
"38",146,159
"39",145,160
"40",144,161
"41",143,162
"42",142,163
"43",141,163
"44",140,164
"45",139,165
"46",139,166
"47",138,167
"48",137,167
"49",136,168
"50",135,169
"51",134,169
"52",133,170
"53",132,171
"54",131,172
"55",130,173
"56",130,174
"57",129,175
"58",129,176
"59",128,177
"60",127,178
"61",127,179
"62",126,180
"63",126,181
"64",125,182
"65",125,183
"66",124,184
"67",124,185
"68",124,186
"69",124,187
"70",123,188
"71",123,189
"72",123,190
"73",123,191
"74",123,192
"75",123,193
"76",122,194
"77",122,195
"78",122,196
"79",122,197
"80",121,198
"81",121,199
"82",121,200
"83",121,201
"84",120,202
"85",120,203
"86",120,204
"87",120,205
"88",120,206
"89",119,207
"90",119,208
"91",119,209
"92",120,210
"93",120,211
"94",120,212
"95",120,213
"96",120,214
"97",120,215
"98",120,216
"99",120,217
"100",120,218
"101",120,219
"102",121,220
"103",121,221
"104",122,222
"105",122,223
"106",122,224
"107",122,225
"108",123,226
"109",123,227
"110",124,228
"111",124,229
"112",125,230
"113",125,231
"114",125,232
"115",124,233
"116",124,234
"117",124,235
"118",124,236
"119",124,237
"120",124,238
"121",124,239
"122",123,240
"123",123,241
"124",123,242
"125",123,243
"126",123,244
"127",123,245
"128",123,246
"129",123,247
"130",123,248
"131",122,249
"132",122,250
"133",122,251
"134",122,252
"135",122,253
"136",122,254
"137",122,255
"138",121,256
"139",121,257
"140",120,258
"141",120,259
"142",120,260
"143",119,261
"144",119,262
"145",118,263
"146",118,264
"147",118,265
"148",118,266
"149",117,267
"150",117,268
"151",117,269
"152",116,270
"153",116,271
"154",116,272
"155",116,273
"156",116,274
"157",115,275
"158",115,276
"159",115,277
"160",115,278
"161",114,279
"162",114,280
"163",114,281
"164",114,282
"165",114,283
"166",114,284
"167",113,285
"168",113,286
"169",113,287
"170",113,288
"171",113,289
"172",113,290
"173",112,291
"174",112,292
"175",112,293
"176",112,294
"177",112,295
"178",112,296
"179",112,297
"180",112,298
"181",112,299
