"","V1","V2"
"1",56,8
"2",55,9
"3",54,9
"4",53,9
"5",53,10
"6",53,11
"7",52,12
"8",52,13
"9",52,14
"10",52,15
"11",52,16
"12",52,17
"13",52,18
"14",52,19
"15",52,20
"16",52,21
"17",51,22
"18",51,23
"19",50,24
"20",50,25
"21",49,26
"22",49,27
"23",49,28
"24",48,29
"25",48,30
"26",48,31
"27",48,32
"28",47,33
"29",47,34
"30",47,35
"31",46,36
"32",46,37
"33",45,38
"34",45,39
"35",44,40
"36",43,41
"37",42,42
"38",42,43
"39",41,44
"40",40,45
"41",39,46
"42",39,47
"43",38,48
"44",37,49
"45",36,50
"46",35,51
"47",34,52
"48",33,53
"49",33,54
"50",32,55
"51",31,56
"52",31,57
"53",30,58
"54",29,59
"55",28,60
"56",27,61
"57",26,61
"58",25,62
"59",24,63
"60",23,64
"61",23,65
"62",22,66
"63",22,67
"64",21,68
"65",21,69
"66",20,70
"67",20,71
"68",20,72
"69",20,73
"70",20,74
"71",20,75
"72",20,76
"73",20,77
"74",20,78
"75",20,79
"76",20,80
"77",20,81
"78",21,82
"79",21,83
"80",21,84
"81",21,85
"82",21,86
"83",21,87
"84",21,88
"85",21,89
"86",21,90
"87",20,91
"88",20,92
"89",20,93
"90",20,94
"91",19,95
"92",19,96
"93",19,97
"94",18,98
"95",18,99
"96",17,100
"97",17,101
"98",16,102
"99",16,103
"100",15,104
"101",15,105
"102",15,106
"103",14,107
"104",14,108
"105",14,109
"106",15,110
"107",15,111
"108",15,112
"109",15,113
"110",16,114
"111",16,115
"112",16,116
"113",17,117
"114",17,118
"115",17,119
"116",17,120
"117",17,121
"118",18,122
"119",18,123
"120",18,124
"121",18,125
"122",19,126
"123",19,127
"124",19,128
"125",20,129
"126",20,130
"127",21,131
"128",21,132
"129",22,133
"130",22,134
"131",23,135
"132",24,135
"133",25,136
"134",26,136
"135",27,137
"136",28,137
"137",29,137
"138",30,137
"139",31,138
"140",32,138
"141",33,139
"142",34,139
"143",35,140
"144",36,141
"145",37,141
"146",38,142
"147",39,143
"148",40,144
"149",41,145
"150",42,146
"151",43,147
"152",43,148
"153",44,149
"154",44,150
"155",45,151
"156",45,152
"157",46,153
"158",47,154
"159",48,155
"160",48,156
"161",49,157
"162",49,158
"163",50,159
"164",50,160
"165",51,161
"166",51,162
"167",51,163
"168",51,164
"169",51,165
"170",52,166
"171",52,167
"172",52,168
"173",52,169
"174",52,170
"175",52,171
"176",52,172
"177",52,173
"178",53,174
"179",53,175
"180",54,176
"181",54,177
"182",55,178
"183",55,179
"184",55,180
"185",55,181
"186",56,182
"187",56,183
"188",56,184
"189",56,185
"190",56,186
"191",56,187
"192",56,188
"193",57,189
"194",58,190
"195",59,191
"196",60,191
"197",61,192
"198",62,192
"199",63,192
"200",64,192
"201",65,192
"202",66,192
"203",67,191
"204",68,190
"205",69,189
"206",69,188
"207",70,187
"208",70,186
"209",71,185
"210",72,184
"211",73,183
"212",74,182
"213",74,181
"214",75,180
"215",75,179
"216",76,178
"217",76,177
"218",76,176
"219",77,175
"220",77,174
"221",77,173
"222",77,172
"223",78,171
"224",78,170
"225",78,169
"226",78,168
"227",78,167
"228",78,166
"229",78,165
"230",79,164
"231",79,163
"232",79,162
"233",79,161
"234",79,160
"235",79,159
"236",80,158
"237",80,157
"238",80,156
"239",80,155
"240",80,154
"241",80,153
"242",80,152
"243",80,151
"244",80,150
"245",80,149
"246",80,148
"247",80,147
"248",80,146
"249",80,145
"250",80,144
"251",81,143
"252",81,142
"253",81,141
"254",82,140
"255",82,139
"256",83,138
"257",83,137
"258",84,136
"259",84,135
"260",85,134
"261",86,133
"262",87,132
"263",88,131
"264",89,130
"265",90,130
"266",91,130
"267",92,129
"268",93,129
"269",94,128
"270",95,128
"271",96,127
"272",97,126
"273",98,125
"274",99,124
"275",99,123
"276",100,122
"277",100,121
"278",101,120
"279",101,119
"280",101,118
"281",102,117
"282",102,116
"283",102,115
"284",102,114
"285",102,113
"286",102,112
"287",102,111
"288",101,110
"289",101,109
"290",101,108
"291",101,107
"292",101,106
"293",101,105
"294",101,104
"295",101,103
"296",101,102
"297",101,101
"298",101,100
"299",101,99
"300",101,98
"301",101,97
"302",101,96
"303",101,95
"304",101,94
"305",100,93
"306",100,92
"307",100,91
"308",100,90
"309",99,89
"310",99,88
"311",99,87
"312",98,86
"313",98,85
"314",98,84
"315",98,83
"316",98,82
"317",98,81
"318",98,80
"319",98,79
"320",97,78
"321",97,77
"322",96,76
"323",96,75
"324",95,74
"325",95,73
"326",94,72
"327",93,71
"328",93,70
"329",92,69
"330",91,68
"331",90,67
"332",90,66
"333",89,65
"334",88,64
"335",88,63
"336",87,62
"337",86,61
"338",85,60
"339",85,59
"340",84,58
"341",83,57
"342",82,56
"343",81,55
"344",80,54
"345",80,53
"346",79,52
"347",79,51
"348",78,50
"349",78,49
"350",77,48
"351",77,47
"352",77,46
"353",77,45
"354",77,44
"355",77,43
"356",77,42
"357",78,41
"358",78,40
"359",78,39
"360",78,38
"361",77,37
"362",77,36
"363",77,35
"364",77,34
"365",76,33
"366",76,32
"367",76,31
"368",76,30
"369",76,29
"370",76,28
"371",76,27
"372",75,26
"373",75,25
"374",75,24
"375",74,23
"376",74,22
"377",74,21
"378",74,20
"379",73,19
"380",73,18
"381",72,17
"382",71,16
"383",70,15
"384",69,14
"385",68,14
"386",67,13
"387",66,12
"388",65,12
"389",64,11
"390",63,11
"391",62,10
"392",61,10
"393",60,9
"394",59,9
"395",58,9
"396",57,8
