"","V1","V2"
"1",154,75
"2",153,76
"3",152,77
"4",151,78
"5",150,79
"6",149,80
"7",149,81
"8",148,82
"9",148,83
"10",148,84
"11",148,85
"12",148,86
"13",147,87
"14",147,88
"15",147,89
"16",147,90
"17",146,91
"18",146,92
"19",145,93
"20",144,94
"21",143,95
"22",142,96
"23",142,97
"24",141,98
"25",141,99
"26",140,100
"27",140,101
"28",139,102
"29",139,103
"30",139,104
"31",139,105
"32",138,106
"33",138,107
"34",138,108
"35",137,109
"36",136,110
"37",135,111
"38",134,112
"39",133,113
"40",132,114
"41",131,115
"42",130,115
"43",129,116
"44",128,117
"45",128,118
"46",127,119
"47",126,120
"48",126,121
"49",125,122
"50",125,123
"51",124,124
"52",124,125
"53",123,126
"54",123,127
"55",122,128
"56",122,129
"57",122,130
"58",121,131
"59",121,132
"60",120,133
"61",119,134
"62",119,135
"63",118,136
"64",117,137
"65",117,138
"66",116,139
"67",115,140
"68",115,141
"69",114,142
"70",114,143
"71",113,144
"72",112,145
"73",112,146
"74",111,147
"75",111,148
"76",111,149
"77",110,150
"78",110,151
"79",109,152
"80",108,153
"81",107,154
"82",107,155
"83",106,156
"84",106,157
"85",106,158
"86",105,159
"87",105,160
"88",105,161
"89",104,162
"90",104,163
"91",103,164
"92",103,165
"93",102,166
"94",102,167
"95",102,168
"96",101,169
"97",100,170
"98",100,171
"99",100,172
"100",99,173
"101",99,174
"102",98,175
"103",98,176
"104",98,177
"105",97,178
"106",97,179
"107",96,180
"108",96,181
"109",96,182
"110",96,183
"111",96,184
"112",96,185
"113",96,186
"114",96,187
"115",96,188
"116",96,189
"117",96,190
"118",97,191
"119",97,192
"120",97,193
"121",96,194
"122",96,195
"123",95,196
"124",95,197
"125",95,198
"126",94,199
"127",94,200
"128",94,201
"129",94,202
"130",93,203
"131",93,204
"132",93,205
"133",93,206
"134",93,207
"135",92,208
"136",92,209
"137",92,210
"138",92,211
"139",91,212
"140",91,213
"141",91,214
"142",91,215
"143",91,216
"144",91,217
"145",90,218
"146",90,219
"147",90,220
"148",90,221
"149",90,222
"150",90,223
"151",90,224
"152",90,225
"153",89,226
"154",89,227
"155",89,228
"156",89,229
"157",89,230
"158",88,231
"159",88,232
"160",88,233
"161",88,234
"162",88,235
"163",87,236
"164",87,237
"165",87,238
"166",87,239
"167",87,240
"168",86,241
"169",86,242
"170",86,243
"171",85,244
"172",85,245
"173",85,246
"174",85,247
"175",84,248
"176",84,249
"177",84,250
"178",84,251
"179",83,252
"180",83,253
"181",83,254
"182",82,255
"183",82,256
"184",81,257
"185",80,258
"186",80,259
"187",80,260
"188",80,261
"189",80,262
"190",79,263
"191",79,264
"192",79,265
"193",79,266
"194",79,267
"195",78,268
"196",78,269
"197",78,270
"198",78,271
"199",77,272
"200",77,273
"201",77,274
"202",77,275
"203",76,276
"204",76,277
"205",75,278
"206",75,279
"207",75,280
"208",74,281
"209",73,282
"210",73,283
"211",73,284
"212",72,285
"213",72,286
"214",72,287
"215",72,288
"216",72,289
"217",72,290
"218",71,291
"219",71,292
"220",71,293
"221",71,294
"222",71,295
"223",71,296
"224",71,297
"225",71,298
"226",71,299
"227",71,300
"228",71,301
"229",71,302
"230",71,303
"231",71,304
"232",71,305
"233",71,306
"234",71,307
"235",70,308
"236",70,309
"237",69,310
"238",68,311
"239",67,312
"240",66,313
"241",65,314
"242",65,315
"243",65,316
"244",65,317
"245",65,318
"246",64,319
"247",64,320
"248",64,321
"249",64,322
"250",64,323
"251",63,324
"252",63,325
"253",62,326
"254",62,327
"255",61,328
"256",60,329
"257",59,330
"258",58,331
"259",58,332
"260",57,333
"261",56,334
"262",56,335
"263",55,336
"264",55,337
"265",55,338
"266",54,339
"267",54,340
"268",54,341
"269",54,342
"270",54,343
"271",54,344
"272",53,345
"273",53,346
"274",53,347
"275",53,348
"276",53,349
"277",53,350
"278",52,351
"279",52,352
"280",52,353
"281",52,354
"282",51,355
"283",51,356
"284",51,357
"285",50,358
"286",50,359
"287",50,360
"288",50,361
"289",49,362
"290",49,363
"291",49,364
"292",49,365
"293",49,366
"294",49,367
"295",48,368
"296",48,369
"297",48,370
"298",48,371
"299",48,372
"300",48,373
"301",47,374
"302",47,375
"303",47,376
"304",47,377
"305",47,378
"306",46,379
"307",46,380
"308",46,381
"309",46,382
"310",45,383
"311",45,384
"312",45,385
"313",44,386
"314",44,387
"315",44,388
"316",44,389
"317",44,390
"318",43,391
"319",43,392
"320",43,393
"321",43,394
"322",43,395
"323",43,396
"324",42,397
"325",42,398
"326",42,399
"327",42,400
"328",42,401
"329",41,402
"330",41,403
"331",41,404
"332",41,405
"333",40,406
"334",40,407
"335",40,408
"336",40,409
"337",40,410
"338",39,411
"339",39,412
"340",39,413
"341",39,414
"342",39,415
"343",38,416
"344",38,417
"345",38,418
"346",38,419
"347",38,420
"348",37,421
"349",37,422
"350",37,423
"351",37,424
"352",37,425
"353",37,426
"354",37,427
"355",37,428
"356",36,429
"357",36,430
"358",36,431
"359",36,432
"360",36,433
"361",36,434
"362",36,435
"363",35,436
"364",35,437
"365",35,438
"366",35,439
"367",34,440
"368",34,441
"369",34,442
"370",34,443
"371",34,444
"372",34,445
"373",33,446
"374",33,447
"375",33,448
"376",33,449
"377",33,450
"378",33,451
"379",33,452
"380",33,453
"381",33,454
"382",33,455
"383",32,456
"384",32,457
"385",32,458
"386",32,459
"387",32,460
"388",32,461
"389",32,462
"390",32,463
"391",31,464
"392",31,465
"393",31,466
"394",31,467
"395",31,468
"396",32,469
"397",32,470
"398",33,470
"399",34,471
"400",35,472
"401",36,472
"402",37,473
"403",38,473
"404",39,473
"405",40,474
"406",41,474
"407",42,475
"408",43,475
"409",44,475
"410",45,476
"411",46,477
"412",47,478
"413",48,479
"414",49,480
"415",50,480
"416",51,480
"417",52,480
"418",53,481
"419",54,482
"420",55,482
"421",56,483
"422",56,484
"423",57,485
"424",58,486
"425",58,487
"426",59,488
"427",59,489
"428",60,490
"429",61,491
"430",62,491
"431",63,492
"432",64,492
"433",65,492
"434",66,493
"435",66,494
"436",66,495
"437",66,496
"438",67,496
"439",68,496
"440",69,496
"441",70,496
"442",71,496
"443",72,496
"444",73,496
"445",74,496
"446",75,497
"447",76,498
"448",77,498
"449",78,499
"450",79,500
"451",80,500
"452",81,501
"453",82,502
"454",83,503
"455",84,503
"456",85,504
"457",86,505
"458",87,506
"459",87,507
"460",88,508
"461",88,509
"462",88,510
"463",89,511
"464",90,512
"465",91,512
"466",92,513
"467",93,514
"468",93,515
"469",93,516
"470",93,517
"471",93,518
"472",93,519
"473",92,520
"474",93,521
"475",93,522
"476",94,523
"477",95,523
"478",96,524
"479",97,525
"480",98,526
"481",99,527
"482",99,528
"483",100,529
"484",101,530
"485",101,531
"486",101,532
"487",102,533
"488",102,534
"489",102,535
"490",102,536
"491",102,537
"492",102,538
"493",102,539
"494",102,540
"495",102,541
"496",102,542
"497",102,543
"498",102,544
"499",102,545
"500",102,546
"501",102,547
"502",102,548
"503",102,549
"504",102,550
"505",102,551
"506",102,552
"507",102,553
"508",102,554
"509",102,555
"510",101,556
"511",101,557
"512",100,558
"513",99,559
"514",99,560
"515",98,561
"516",97,562
"517",97,563
"518",97,564
"519",97,565
"520",97,566
"521",98,567
"522",98,568
"523",99,569
"524",100,570
"525",101,571
"526",102,572
"527",102,573
"528",102,574
"529",102,575
"530",102,576
"531",102,577
"532",102,578
"533",102,579
"534",102,580
"535",102,581
"536",102,582
"537",102,583
"538",102,584
"539",102,585
"540",101,586
"541",101,587
"542",101,588
"543",100,589
"544",100,590
"545",99,591
"546",99,592
"547",99,593
"548",99,594
"549",99,595
"550",99,596
"551",99,597
"552",99,598
"553",98,599
"554",98,600
"555",98,601
"556",97,602
"557",97,603
"558",97,604
"559",97,605
"560",97,606
"561",97,607
"562",97,608
"563",97,609
"564",97,610
"565",98,611
"566",98,612
"567",98,613
"568",98,614
"569",98,615
"570",98,616
"571",98,617
"572",98,618
"573",99,619
"574",99,620
"575",99,621
"576",99,622
"577",99,623
"578",99,624
"579",99,625
"580",99,626
"581",99,627
"582",99,628
"583",99,629
"584",99,630
"585",99,631
"586",99,632
"587",98,633
"588",98,634
"589",98,635
"590",98,636
"591",98,637
"592",98,638
"593",98,639
"594",98,640
"595",99,641
"596",99,642
"597",100,642
"598",101,643
"599",102,643
"600",103,644
"601",104,644
"602",105,644
"603",106,645
"604",107,646
"605",108,647
"606",109,648
"607",110,649
"608",110,650
"609",110,651
"610",110,652
"611",111,653
"612",111,654
"613",112,655
"614",113,656
"615",114,657
"616",115,657
"617",116,658
"618",117,659
"619",118,660
"620",119,661
"621",119,662
"622",120,663
"623",121,664
"624",122,664
"625",123,664
"626",124,664
"627",125,663
"628",126,662
"629",127,662
"630",128,662
"631",129,661
"632",130,662
"633",131,662
"634",132,662
"635",133,662
"636",134,662
"637",135,663
"638",136,663
"639",137,663
"640",138,664
"641",139,664
"642",140,665
"643",141,665
"644",142,665
"645",143,666
"646",144,666
"647",145,667
"648",146,667
"649",147,667
"650",148,668
"651",149,668
"652",150,668
"653",151,669
"654",152,669
"655",153,669
"656",154,669
"657",155,669
"658",156,669
"659",157,669
"660",158,669
"661",159,668
"662",160,668
"663",161,668
"664",162,667
"665",163,666
"666",164,665
"667",165,665
"668",166,665
"669",167,665
"670",168,665
"671",169,665
"672",170,666
"673",171,666
"674",172,667
"675",173,668
"676",174,669
"677",175,669
"678",176,670
"679",177,671
"680",178,672
"681",179,672
"682",180,672
"683",181,672
"684",182,673
"685",183,673
"686",184,673
"687",185,673
"688",186,673
"689",187,673
"690",188,673
"691",189,674
"692",190,674
"693",191,674
"694",192,674
"695",193,674
"696",194,674
"697",195,674
"698",196,674
"699",197,674
"700",198,674
"701",199,674
"702",200,673
"703",201,673
"704",202,673
"705",203,673
"706",204,673
"707",205,672
"708",206,672
"709",207,671
