"","V1","V2"
"1",294,65
"2",293,66
"3",292,66
"4",291,66
"5",290,66
"6",289,67
"7",288,67
"8",287,67
"9",286,67
"10",285,68
"11",284,68
"12",283,69
"13",282,69
"14",281,70
"15",280,70
"16",279,70
"17",278,70
"18",277,70
"19",276,70
"20",275,71
"21",274,71
"22",273,71
"23",272,71
"24",271,71
"25",270,71
"26",269,72
"27",268,72
"28",267,73
"29",266,73
"30",265,73
"31",264,74
"32",263,74
"33",262,75
"34",261,75
"35",260,76
"36",259,77
"37",258,78
"38",257,78
"39",256,79
"40",255,79
"41",254,80
"42",253,81
"43",252,82
"44",252,83
"45",251,84
"46",250,85
"47",249,86
"48",248,87
"49",247,88
"50",246,88
"51",245,89
"52",244,89
"53",243,89
"54",242,89
"55",241,90
"56",240,90
"57",239,90
"58",238,91
"59",237,92
"60",236,92
"61",235,93
"62",234,94
"63",233,95
"64",233,96
"65",232,97
"66",232,98
"67",231,99
"68",230,100
"69",229,100
"70",228,101
"71",227,101
"72",226,101
"73",225,101
"74",224,102
"75",223,102
"76",222,102
"77",221,102
"78",220,103
"79",219,103
"80",218,103
"81",217,103
"82",216,103
"83",215,103
"84",214,104
"85",213,104
"86",212,104
"87",211,103
"88",210,103
"89",209,103
"90",208,102
"91",207,102
"92",206,102
"93",205,102
"94",204,102
"95",203,102
"96",202,102
"97",201,101
"98",200,101
"99",199,101
"100",198,101
"101",197,101
"102",196,101
"103",195,101
"104",194,101
"105",193,101
"106",192,101
"107",191,102
"108",190,102
"109",189,102
"110",188,101
"111",187,101
"112",186,101
"113",185,101
"114",184,101
"115",183,102
"116",182,102
"117",181,102
"118",180,103
"119",179,103
"120",178,104
"121",177,105
"122",177,106
"123",176,107
"124",176,108
"125",175,109
"126",175,110
"127",174,111
"128",174,112
"129",173,113
"130",172,114
"131",172,115
"132",172,116
"133",171,117
"134",171,118
"135",170,119
"136",170,120
"137",169,121
"138",168,122
"139",167,123
"140",166,124
"141",165,125
"142",164,125
"143",163,126
"144",162,127
"145",161,127
"146",160,128
"147",159,128
"148",158,129
"149",157,129
"150",156,130
"151",155,130
"152",154,130
"153",153,130
"154",152,130
"155",151,130
"156",150,130
"157",149,130
"158",148,130
"159",147,130
"160",146,130
"161",145,129
"162",144,129
"163",143,129
"164",142,129
"165",141,129
"166",140,129
"167",139,129
"168",138,129
"169",137,129
"170",136,129
"171",135,129
"172",134,129
"173",133,129
"174",132,129
"175",131,129
"176",130,130
"177",129,130
"178",128,131
"179",127,131
"180",126,132
"181",125,132
"182",124,132
"183",123,133
"184",122,133
"185",121,133
"186",120,133
"187",119,133
"188",118,134
"189",117,134
"190",116,134
"191",115,135
"192",115,136
"193",114,137
"194",114,138
"195",114,139
"196",113,140
"197",113,141
"198",112,142
"199",111,142
"200",110,143
"201",110,144
"202",110,145
"203",109,146
"204",109,147
"205",109,148
"206",109,149
"207",109,150
"208",108,151
"209",108,152
"210",107,153
"211",107,154
"212",106,155
"213",105,156
"214",105,157
"215",105,158
"216",105,159
"217",104,160
"218",104,161
"219",104,162
"220",104,163
"221",104,164
"222",105,165
"223",105,166
"224",105,167
"225",105,168
"226",105,169
"227",106,170
"228",106,171
"229",106,172
"230",106,173
"231",106,174
"232",105,175
"233",105,176
"234",104,177
"235",103,178
"236",103,179
"237",102,180
"238",102,181
"239",102,182
"240",101,183
"241",101,184
"242",101,185
"243",100,186
"244",100,187
"245",99,188
"246",99,189
"247",99,190
"248",99,191
"249",99,192
"250",99,193
"251",99,194
"252",99,195
"253",98,196
"254",98,197
"255",98,198
"256",97,199
"257",97,200
"258",97,201
"259",97,202
"260",97,203
"261",98,204
"262",98,205
"263",99,206
"264",100,207
"265",101,208
"266",102,208
"267",103,209
"268",104,210
"269",104,211
"270",104,212
"271",104,213
"272",105,214
"273",105,215
"274",105,216
"275",105,217
"276",104,218
"277",104,219
"278",103,220
"279",102,221
"280",102,222
"281",101,223
"282",101,224
"283",101,225
"284",101,226
"285",101,227
"286",101,228
"287",101,229
"288",101,230
"289",101,231
"290",101,232
"291",101,233
"292",100,234
"293",100,235
"294",100,236
"295",100,237
"296",100,238
"297",100,239
"298",100,240
"299",100,241
"300",100,242
"301",100,243
"302",100,244
"303",100,245
"304",100,246
"305",100,247
"306",100,248
"307",100,249
"308",100,250
"309",100,251
"310",101,252
"311",101,253
"312",101,254
"313",102,255
"314",102,256
"315",102,257
"316",102,258
"317",102,259
"318",102,260
"319",103,261
"320",103,262
"321",103,263
"322",103,264
"323",103,265
"324",104,266
"325",104,267
"326",104,268
"327",104,269
"328",104,270
"329",104,271
"330",104,272
"331",105,273
"332",105,274
"333",105,275
"334",106,276
"335",106,277
"336",106,278
"337",107,279
"338",107,280
"339",108,281
"340",108,282
"341",108,283
"342",109,284
"343",109,285
"344",109,286
"345",110,287
"346",111,288
"347",112,289
"348",113,290
"349",113,291
"350",112,292
"351",112,293
"352",111,294
"353",110,295
"354",110,296
"355",109,297
"356",109,298
"357",108,299
"358",108,300
"359",108,301
"360",108,302
"361",108,303
"362",109,304
"363",109,305
"364",109,306
"365",109,307
"366",110,308
"367",110,309
"368",110,310
"369",111,311
"370",110,312
"371",110,313
"372",110,314
"373",109,315
"374",109,316
"375",109,317
"376",110,318
"377",110,319
"378",110,320
"379",110,321
"380",110,322
"381",110,323
"382",110,324
"383",110,325
"384",111,326
"385",111,327
"386",112,328
"387",113,328
"388",114,329
"389",115,329
"390",116,329
"391",117,330
"392",117,331
"393",117,332
"394",117,333
"395",117,334
"396",116,335
"397",116,336
"398",116,337
"399",116,338
"400",115,339
"401",115,340
"402",115,341
"403",115,342
"404",114,343
"405",114,344
"406",114,345
"407",114,346
"408",114,347
"409",115,348
"410",115,349
"411",115,350
"412",115,351
"413",115,352
"414",115,353
"415",115,354
"416",115,355
"417",115,356
"418",115,357
"419",115,358
"420",115,359
"421",115,360
"422",115,361
"423",116,362
"424",116,363
"425",117,364
"426",117,365
"427",117,366
"428",117,367
"429",117,368
"430",117,369
"431",117,370
"432",118,371
"433",118,372
"434",118,373
"435",118,374
"436",118,375
"437",118,376
"438",118,377
"439",118,378
"440",118,379
"441",118,380
"442",118,381
"443",118,382
"444",118,383
"445",118,384
"446",118,385
"447",118,386
"448",117,387
"449",117,388
"450",117,389
"451",116,390
"452",116,391
"453",116,392
"454",116,393
"455",115,394
"456",115,395
"457",114,396
"458",114,397
"459",114,398
"460",114,399
"461",114,400
"462",114,401
"463",114,402
"464",114,403
"465",114,404
"466",114,405
"467",114,406
"468",114,407
"469",114,408
"470",114,409
"471",114,410
"472",114,411
"473",113,412
"474",113,413
"475",113,414
"476",113,415
"477",114,416
"478",114,417
"479",114,418
"480",114,419
"481",114,420
"482",114,421
"483",114,422
"484",114,423
"485",115,424
"486",115,425
"487",115,426
"488",114,427
"489",114,428
"490",113,429
"491",113,430
"492",113,431
"493",112,432
"494",112,433
"495",112,434
"496",112,435
"497",112,436
"498",111,437
"499",110,438
"500",109,439
"501",108,440
"502",108,441
"503",107,442
"504",106,443
"505",105,444
"506",105,445
"507",104,446
"508",104,447
"509",103,448
"510",103,449
"511",102,450
"512",102,451
"513",101,452
"514",101,453
"515",101,454
"516",101,455
"517",100,456
"518",100,457
"519",100,458
"520",100,459
"521",100,460
"522",100,461
"523",100,462
"524",100,463
"525",100,464
"526",99,465
"527",99,466
"528",99,467
"529",99,468
"530",99,469
"531",100,470
"532",100,471
"533",100,472
"534",100,473
"535",100,474
"536",100,475
"537",100,476
"538",99,477
"539",99,478
"540",99,479
"541",99,480
"542",99,481
"543",98,482
"544",98,483
"545",98,484
"546",98,485
"547",98,486
"548",97,487
"549",97,488
"550",96,489
"551",96,490
"552",96,491
"553",96,492
"554",96,493
"555",96,494
"556",96,495
"557",96,496
"558",96,497
"559",96,498
"560",95,499
"561",95,500
"562",94,501
"563",94,502
"564",94,503
"565",93,504
"566",93,505
"567",92,506
"568",92,507
"569",92,508
"570",92,509
"571",92,510
"572",92,511
"573",92,512
"574",92,513
"575",91,514
"576",91,515
"577",91,516
"578",91,517
"579",91,518
"580",90,519
"581",90,520
"582",89,521
"583",89,522
"584",88,523
"585",88,524
"586",88,525
"587",88,526
"588",88,527
