"","V1","V2"
"1",53,5
"2",52,6
"3",51,6
"4",51,7
"5",50,8
"6",50,9
"7",50,10
"8",50,11
"9",50,12
"10",50,13
"11",50,14
"12",50,15
"13",50,16
"14",50,17
"15",49,18
"16",49,19
"17",49,20
"18",48,21
"19",48,22
"20",47,23
"21",47,24
"22",47,25
"23",46,26
"24",46,27
"25",46,28
"26",46,29
"27",45,30
"28",45,31
"29",45,32
"30",44,33
"31",44,34
"32",43,35
"33",43,36
"34",42,37
"35",41,38
"36",40,39
"37",40,40
"38",39,41
"39",38,42
"40",37,43
"41",37,44
"42",36,45
"43",35,46
"44",34,47
"45",33,48
"46",32,49
"47",31,50
"48",31,51
"49",30,52
"50",29,53
"51",29,54
"52",28,55
"53",27,56
"54",26,57
"55",25,57
"56",24,58
"57",23,59
"58",22,60
"59",21,61
"60",21,62
"61",20,63
"62",19,64
"63",19,65
"64",19,66
"65",18,67
"66",18,68
"67",18,69
"68",18,70
"69",18,71
"70",18,72
"71",18,73
"72",18,74
"73",18,75
"74",18,76
"75",18,77
"76",18,78
"77",18,79
"78",19,80
"79",19,81
"80",19,82
"81",19,83
"82",19,84
"83",19,85
"84",19,86
"85",18,87
"86",18,88
"87",18,89
"88",18,90
"89",18,91
"90",17,92
"91",17,93
"92",17,94
"93",16,95
"94",16,96
"95",15,97
"96",15,98
"97",14,99
"98",14,100
"99",13,101
"100",13,102
"101",13,103
"102",12,104
"103",12,105
"104",12,106
"105",12,107
"106",13,108
"107",13,109
"108",13,110
"109",14,111
"110",14,112
"111",14,113
"112",15,114
"113",15,115
"114",15,116
"115",15,117
"116",15,118
"117",16,119
"118",16,120
"119",16,121
"120",16,122
"121",16,123
"122",17,124
"123",17,125
"124",18,126
"125",18,127
"126",19,128
"127",19,129
"128",20,130
"129",20,131
"130",21,132
"131",22,132
"132",23,133
"133",24,133
"134",25,134
"135",26,134
"136",27,134
"137",28,134
"138",29,135
"139",30,135
"140",31,136
"141",32,136
"142",33,137
"143",34,138
"144",35,138
"145",36,139
"146",37,140
"147",38,141
"148",39,142
"149",40,143
"150",41,144
"151",41,145
"152",42,146
"153",42,147
"154",43,148
"155",43,149
"156",44,150
"157",45,151
"158",46,152
"159",46,153
"160",47,154
"161",47,155
"162",48,156
"163",48,157
"164",48,158
"165",49,159
"166",49,160
"167",49,161
"168",49,162
"169",50,163
"170",50,164
"171",50,165
"172",50,166
"173",50,167
"174",50,168
"175",50,169
"176",50,170
"177",51,171
"178",51,172
"179",52,173
"180",52,174
"181",53,175
"182",53,176
"183",53,177
"184",53,178
"185",54,179
"186",54,180
"187",54,181
"188",54,182
"189",54,183
"190",54,184
"191",54,185
"192",55,186
"193",56,187
"194",57,188
"195",58,188
"196",59,189
"197",60,189
"198",61,189
"199",62,189
"200",63,189
"201",64,189
"202",65,188
"203",66,187
"204",67,186
"205",67,185
"206",68,184
"207",69,183
"208",69,182
"209",70,181
"210",71,180
"211",72,179
"212",73,178
"213",73,177
"214",73,176
"215",74,175
"216",74,174
"217",74,173
"218",75,172
"219",75,171
"220",75,170
"221",75,169
"222",76,168
"223",76,167
"224",76,166
"225",76,165
"226",76,164
"227",76,163
"228",76,162
"229",77,161
"230",77,160
"231",77,159
"232",77,158
"233",77,157
"234",78,156
"235",78,155
"236",78,154
"237",78,153
"238",78,152
"239",78,151
"240",78,150
"241",78,149
"242",78,148
"243",78,147
"244",78,146
"245",78,145
"246",78,144
"247",78,143
"248",78,142
"249",78,141
"250",79,140
"251",79,139
"252",79,138
"253",80,137
"254",80,136
"255",81,135
"256",81,134
"257",82,133
"258",82,132
"259",83,131
"260",84,130
"261",85,129
"262",86,128
"263",87,127
"264",88,127
"265",89,127
"266",90,126
"267",91,126
"268",92,125
"269",93,125
"270",94,124
"271",95,123
"272",96,122
"273",97,121
"274",97,120
"275",98,119
"276",98,118
"277",99,117
"278",99,116
"279",99,115
"280",100,114
"281",100,113
"282",100,112
"283",100,111
"284",100,110
"285",100,109
"286",100,108
"287",99,107
"288",99,106
"289",99,105
"290",99,104
"291",99,103
"292",99,102
"293",99,101
"294",99,100
"295",99,99
"296",99,98
"297",99,97
"298",99,96
"299",99,95
"300",99,94
"301",99,93
"302",99,92
"303",99,91
"304",98,90
"305",98,89
"306",98,88
"307",98,87
"308",97,86
"309",97,85
"310",97,84
"311",97,83
"312",96,82
"313",96,81
"314",96,80
"315",96,79
"316",96,78
"317",96,77
"318",96,76
"319",95,75
"320",95,74
"321",95,73
"322",94,72
"323",93,71
"324",93,70
"325",92,69
"326",91,68
"327",91,67
"328",90,66
"329",89,65
"330",88,64
"331",88,63
"332",87,62
"333",86,61
"334",86,60
"335",85,59
"336",84,58
"337",84,57
"338",83,56
"339",82,55
"340",81,54
"341",80,53
"342",79,52
"343",78,51
"344",78,50
"345",77,49
"346",77,48
"347",76,47
"348",76,46
"349",75,45
"350",75,44
"351",75,43
"352",75,42
"353",75,41
"354",75,40
"355",76,39
"356",76,38
"357",76,37
"358",76,36
"359",76,35
"360",75,34
"361",75,33
"362",75,32
"363",75,31
"364",74,30
"365",74,29
"366",74,28
"367",74,27
"368",74,26
"369",74,25
"370",74,24
"371",73,23
"372",73,22
"373",73,21
"374",72,20
"375",72,19
"376",72,18
"377",72,17
"378",71,16
"379",71,15
"380",70,14
"381",69,13
"382",68,12
"383",67,11
"384",66,11
"385",65,10
"386",64,9
"387",63,9
"388",62,8
"389",61,8
"390",60,7
"391",59,7
"392",58,6
"393",57,6
"394",56,6
"395",55,5
"396",54,5
